title,poem,poet
Song of Myself: 35,"Would you hear of an old-time sea-fight?
 Would you learn who won by the light of the moon and stars?
 List to the yarn, as my grandmother’s father the sailor told it to me.
 
 Our foe was no skulk in his ship I tell you, (said he,)
 His was the surly English pluck, and there is no tougher or truer, and never was, and never will be;
 Along the lower’d eve he came horribly raking us.
 
 We closed with him, the yards entangled, the cannon touch’d,
 My captain lash’d fast with his own hands.
 
 We had receiv’d some eighteen pound shots under the water,
 On our lower-gun-deck two large pieces had burst at the first fire, killing all around and blowing up overhead.
 
 Fighting at sun-down, fighting at dark,
 Ten o’clock at night, the full moon well up, our leaks on the gain, and five feet of water reported,
 The master-at-arms loosing the prisoners confined in the after-hold to give them a chance for themselves.
 
 The transit to and from the magazine is now stopt by the sentinels,
 They see so many strange faces they do not know whom to trust.
 
 Our frigate takes fire,
 The other asks if we demand quarter?
 If our colors are struck and the fighting done?
 
 Now I laugh content, for I hear the voice of my little captain,
 We have not struck, he composedly cries, we have just begun our part of the fighting.
 
 Only three guns are in use,
 One is directed by the captain himself against the enemy’s mainmast,
 Two well serv’d with grape and canister silence his musketry and clear his decks.
 
 The tops alone second the fire of this little battery, especially the main-top,
 They hold out bravely during the whole of the action.
 
 Not a moment’s cease,
 The leaks gain fast on the pumps, the fire eats toward the powder-magazine.
 
 One of the pumps has been shot away, it is generally thought we are sinking.
 
 Serene stands the little captain,
 He is not hurried, his voice is neither high nor low,
 His eyes give more light to us than our battle-lanterns.
 
 Toward twelve there in the beams of the moon they surrender to us.Source: Walt Whitman: Poetry and Prose (The Library of America, 1996)",Walt Whitman
Song of Myself: 36,"Stretch’d and still lies the midnight, 
Two great hulls motionless on the breast of the darkness,
Our vessel riddled and slowly sinking, preparations to pass to the one we have conquer’d,
The captain on the quarter-deck coldly giving his orders through a countenance white as a sheet,
Near by the corpse of the child that serv’d in the cabin,
The dead face of an old salt with long white hair and carefully curl’d whiskers,
The flames spite of all that can be done flickering aloft and below,
The husky voices of the two or three officers yet fit for duty, 
Formless stacks of bodies and bodies by themselves, dabs of flesh upon the masts and spars,
Cut of cordage, dangle of rigging, slight shock of the soothe of waves,
Black and impassive guns, litter of powder-parcels, strong scent,
A few large stars overhead, silent and mournful shining, 
Delicate sniffs of sea-breeze, smells of sedgy grass and fields by the shore, death-messages given in charge to survivors,
The hiss of the surgeon’s knife, the gnawing teeth of his saw,
Wheeze, cluck, swash of falling blood, short wild scream, and long, dull, tapering groan,
These so, these irretrievable.Source: Walt Whitman: Poetry and Prose (The Library of America, 1996)",Walt Whitman
Song of the Open Road,"1 Afoot and light-hearted I take to the open road, Healthy, free, the world before me, The long brown path before me leading wherever I choose.  Henceforth I ask not good-fortune, I myself am good-fortune, Henceforth I whimper no more, postpone no more, need nothing, Done with indoor complaints, libraries, querulous criticisms, Strong and content I travel the open road.  The earth, that is sufficient, I do not want the constellations any nearer, I know they are very well where they are, I know they suffice for those who belong to them.  (Still here I carry my old delicious burdens, I carry them, men and women, I carry them with me wherever I go, I swear it is impossible for me to get rid of them, I am fill’d with them, and I will fill them in return.)  2 You road I enter upon and look around, I believe you are not all that is here, I believe that much unseen is also here.  Here the profound lesson of reception, nor preference nor denial, The black with his woolly head, the felon, the diseas’d, the illiterate person, are not denied; The birth, the hasting after the physician, the beggar’s tramp, the drunkard’s stagger, the laughing party of mechanics, The escaped youth, the rich person’s carriage, the fop, the eloping couple,  The early market-man, the hearse, the moving of furniture into the town, the return back from the town, They pass, I also pass, any thing passes, none can be interdicted, None but are accepted, none but shall be dear to me.  3 You air that serves me with breath to speak! You objects that call from diffusion my meanings and give them shape! You light that wraps me and all things in delicate equable showers! You paths worn in the irregular hollows by the roadsides! I believe you are latent with unseen existences, you are so dear to me.  You flagg’d walks of the cities! you strong curbs at the edges! You ferries! you planks and posts of wharves! you timber-lined sides! you distant ships!  You rows of houses! you window-pierc’d façades! you roofs! You porches and entrances! you copings and iron guards! You windows whose transparent shells might expose so much! You doors and ascending steps! you arches! You gray stones of interminable pavements! you trodden crossings! From all that has touch’d you I believe you have imparted to yourselves, and now would impart the same secretly to me, From the living and the dead you have peopled your impassive surfaces, and the spirits thereof would be evident and amicable with me.  4 The earth expanding right hand and left hand, The picture alive, every part in its best light, The music falling in where it is wanted, and stopping where it is not wanted, The cheerful voice of the public road, the gay fresh sentiment of the road.  O highway I travel, do you say to me Do not leave me? Do you say Venture not—if you leave me you are lost? Do you say I am already prepared, I am well-beaten and undenied, adhere to me?  O public road, I say back I am not afraid to leave you, yet I love you, You express me better than I can express myself, You shall be more to me than my poem.  I think heroic deeds were all conceiv’d in the open air, and all free poems also, I think I could stop here myself and do miracles, I think whatever I shall meet on the road I shall like, and whoever beholds me shall like me, I think whoever I see must be happy.  5 From this hour I ordain myself loos’d of limits and imaginary lines, Going where I list, my own master total and absolute, Listening to others, considering well what they say, Pausing, searching, receiving, contemplating, Gently,but with undeniable will, divesting myself of the holds that would hold me. I inhale great draughts of space, The east and the west are mine, and the north and the south are mine.  I am larger, better than I thought, I did not know I held so much goodness.  All seems beautiful to me, I can repeat over to men and women You have done such good to me I would do the same to you, I will recruit for myself and you as I go, I will scatter myself among men and women as I go, I will toss a new gladness and roughness among them, Whoever denies me it shall not trouble me, Whoever accepts me he or she shall be blessed and shall bless me.  6 Now if a thousand perfect men were to appear it would not amaze me, Now if a thousand beautiful forms of women appear’d it would not astonish me.  Now I see the secret of the making of the best persons, It is to grow in the open air and to eat and sleep with the earth.  Here a great personal deed has room, (Such a deed seizes upon the hearts of the whole race of men, Its effusion of strength and will overwhelms law and mocks all authority and all argument against it.)  Here is the test of wisdom, Wisdom is not finally tested in schools, Wisdom cannot be pass’d from one having it to another not having it, Wisdom is of the soul, is not susceptible of proof, is its own proof, Applies to all stages and objects and qualities and is content, Is the certainty of the reality and immortality of things, and the excellence of things; Something there is in the float of the sight of things that provokes it out of the soul.  Now I re-examine philosophies and religions, They may prove well in lecture-rooms, yet not prove at all under the spacious clouds and along the landscape and flowing currents.  Here is realization, Here is a man tallied—he realizes here what he has in him, The past, the future, majesty, love—if they are vacant of you, you are vacant of them.  Only the kernel of every object nourishes; Where is he who tears off the husks for you and me? Where is he that undoes stratagems and envelopes for you and me?  Here is adhesiveness, it is not previously fashion’d, it is apropos; Do you know what it is as you pass to be loved by strangers? Do you know the talk of those turning eye-balls?  7 Here is the efflux of the soul, The efflux of the soul comes from within through embower’d gates, ever provoking questions, These yearnings why are they? these thoughts in the darkness why are they? Why are there men and women that while they are nigh me the sunlight expands my blood? Why when they leave me do my pennants of joy sink flat and lank? Why are there trees I never walk under but large and melodious thoughts descend upon me? (I think they hang there winter and summer on those trees and always drop fruit as I pass;) What is it I interchange so suddenly with strangers? What with some driver as I ride on the seat by his side? What with some fisherman drawing his seine by the shore as I walk by and pause? What gives me to be free to a woman’s and man’s good-will? what gives them to be free to mine?  8 The efflux of the soul is happiness, here is happiness, I think it pervades the open air, waiting at all times, Now it flows unto us, we are rightly charged.  Here rises the fluid and attaching character, The fluid and attaching character is the freshness and sweetness of man and woman, (The herbs of the morning sprout no fresher and sweeter every day out of the roots of themselves, than it sprouts fresh and sweet continually out of itself.)  Toward the fluid and attaching character exudes the sweat of the love of young and old, From it falls distill’d the charm that mocks beauty and attainments, Toward it heaves the shuddering longing ache of contact.  9 Allons! whoever you are come travel with me! Traveling with me you find what never tires.  The earth never tires, The earth is rude, silent, incomprehensible at first, Nature is rude and incomprehensible at first, Be not discouraged, keep on, there are divine things well envelop’d, I swear to you there are divine things more beautiful than words can tell.  Allons! we must not stop here, However sweet these laid-up stores, however convenient this dwelling we cannot remain here, However shelter’d this port and however calm these waters we must not anchor here, However welcome the hospitality that surrounds us we are permitted to receive it but a little while.  10 Allons! the inducements shall be greater, We will sail pathless and wild seas, We will go where winds blow, waves dash, and the Yankee clipper speeds by under full sail.  Allons! with power, liberty, the earth, the elements, Health, defiance, gayety, self-esteem, curiosity; Allons! from all formules! From your formules, O bat-eyed and materialistic priests.  The stale cadaver blocks up the passage—the burial waits no longer.  Allons! yet take warning! He traveling with me needs the best blood, thews, endurance, None may come to the trial till he or she bring courage and health, Come not here if you have already spent the best of yourself, Only those may come who come in sweet and determin’d bodies, No diseas’d person, no rum-drinker or venereal taint is permitted here.  (I and mine do not convince by arguments, similes, rhymes, We convince by our presence.)  11 Listen! I will be honest with you, I do not offer the old smooth prizes, but offer rough new prizes, These are the days that must happen to you: You shall not heap up what is call’d riches, You shall scatter with lavish hand all that you earn or achieve, You but arrive at the city to which you were destin’d, you hardly settle yourself to satisfaction before you are call’d by an irresistible call to depart, You shall be treated to the ironical smiles and mockings of those who remain behind you, What beckonings of love you receive you shall only answer with passionate kisses of parting, You shall not allow the hold of those who spread their reach’d hands toward you.  12 Allons! after the great Companions, and to belong to them! They too are on the road—they are the swift and majestic men—they are the greatest women, Enjoyers of calms of seas and storms of seas, Sailors of many a ship, walkers of many a mile of land, Habituès of many distant countries, habituès of far-distant dwellings, Trusters of men and women, observers of cities, solitary toilers, Pausers and contemplators of tufts, blossoms, shells of the shore, Dancers at wedding-dances, kissers of brides, tender helpers of children, bearers of children, Soldiers of revolts, standers by gaping graves, lowerers-down of coffins, Journeyers over consecutive seasons, over the years, the curious years each emerging from that which preceded it, Journeyers as with companions, namely their own diverse phases, Forth-steppers from the latent unrealized baby-days, Journeyers gayly with their own youth, journeyers with their bearded and well-grain’d manhood, Journeyers with their womanhood, ample, unsurpass’d, content, Journeyers with their own sublime old age of manhood or womanhood, Old age, calm, expanded, broad with the haughty breadth of the universe, Old age, flowing free with the delicious near-by freedom of death.  13 Allons! to that which is endless as it was beginningless, To undergo much, tramps of days, rests of nights, To merge all in the travel they tend to, and the days and nights they tend to, Again to merge them in the start of superior journeys, To see nothing anywhere but what you may reach it and pass it, To conceive no time, however distant, but what you may reach it and pass it, To look up or down no road but it stretches and waits for you, however long but it stretches and waits for you, To see no being, not God’s or any, but you also go thither, To see no possession but you may possess it, enjoying all without labor or purchase, abstracting the feast yet not abstracting one particle of it, To take the best of the farmer’s farm and the rich man’s elegant villa, and the chaste blessings of the well-married couple, and the fruits of orchards and flowers of gardens, To take to your use out of the compact cities as you pass through, To carry buildings and streets with you afterward wherever you go, To gather the minds of men out of their brains as you encounter them, to gather the love out of their hearts, To take your lovers on the road with you, for all that you leave them behind you, To know the universe itself as a road, as many roads, as roads for traveling souls.  All parts away for the progress of souls, All religion, all solid things, arts, governments—all that was or is apparent upon this globe or any globe, falls into niches and corners before the procession of souls along the grand roads of the universe.  Of the progress of the souls of men and women along the grand roads of the universe, all other progress is the needed emblem and sustenance.  Forever alive, forever forward, Stately, solemn, sad, withdrawn, baffled, mad, turbulent, feeble, dissatisfied, Desperate, proud, fond, sick, accepted by men, rejected by men, They go! they go! I know that they go, but I know not where they go, But I know that they go toward the best—toward something great.  Whoever you are, come forth! or man or woman come forth! You must not stay sleeping and dallying there in the house, though you built it, or though it has been built for you.  Out of the dark confinement! out from behind the screen! It is useless to protest, I know all and expose it.  Behold through you as bad as the rest, Through the laughter, dancing, dining, supping, of people, Inside of dresses and ornaments, inside of those wash’d and trimm’d faces, Behold a secret silent loathing and despair.  No husband, no wife, no friend, trusted to hear the confession, Another self, a duplicate of every one, skulking and hiding it goes, Formless and wordless through the streets of the cities, polite and bland in the parlors, In the cars of railroads, in steamboats, in the public assembly, Home to the houses of men and women, at the table, in the bedroom, everywhere, Smartly attired, countenance smiling, form upright, death under the breast-bones, hell under the skull-bones, Under the broadcloth and gloves, under the ribbons and artificial flowers, Keeping fair with the customs, speaking not a syllable of itself, Speaking of any thing else but never of itself.  14 Allons! through struggles and wars! The goal that was named cannot be countermanded.  Have the past struggles succeeded? What has succeeded? yourself? your nation? Nature? Now understand me well—it is provided in the essence of things that from any fruition of success, no matter what, shall come forth something to make a greater struggle necessary.  My call is the call of battle, I nourish active rebellion, He going with me must go well arm’d, He going with me goes often with spare diet, poverty, angry enemies, desertions.  15 Allons! the road is before us! It is safe—I have tried it—my own feet have tried it well—be not detain’d!  Let the paper remain on the desk unwritten, and the book on the shelf unopen’d! Let the tools remain in the workshop! let the money remain unearn’d! Let the school stand! mind not the cry of the teacher! Let the preacher preach in his pulpit! let the lawyer plead in the court, and the judge expound the law.  Camerado, I give you my hand! I give you my love more precious than money, I give you myself before preaching or law; Will you give me yourself? will you come travel with me? Shall we stick by each other as long as we live?",Walt Whitman
Time to Come,"O, Death! O, Death! An example of apostrophe: an address to a dead or absent person, or personification as if he or she were present; see glossary definition here). About this Poem. This poem, published in 1842, is a revision of Whitman’s first published poem “Our Future Lot,” from 1838. In that 20-line poem, similar wording includes: “With flashing hope, and gloomy fear” (line 2); “The troubled heart and wondrous form / Must both alike decay (lines 7-8); “Dull senseless limbs, and ashy face, / But where, O Nature! where will be / My mind’s abiding place? (lines 10-12); and the final line “The common doom—to die!” a black and pierceless pallpall A dark cloud or covering of smoke or dust 
     Hangs round thee, and the future state;
 No eye may see, no mind may grasp
     That mystery of fate.
 
 This brain, which now alternate throbs
     With swelling hope and gloomy fear;
 This heart, with all the changing hues,   
     That mortal passions bear—
 
 This curious frame of human mould,
     Where unrequited cravings play,
 This brain, and heart, and wondrous form
     Must all alike decay.
 
 The leaping blood will stop its flow;
     The hoarse death-struggle pass; the cheek
 Lay bloomless, and the liquid tongue
     Will then forget to speak.
 
 The grave will take me; earth will close
     O’er cold dull limbs and ashy face;
 But where, O, Nature, where shall be
     The soul’s abiding place?
 
 Will it e’ene’en Traditional poetic contraction for “even,” pronounced as one syllable to fit the meter of the line  live? For though its light
     Must shine till from the body torn;
 Then, when the oil of life is spent,   
     Still shall the taper burn?
 
 O, powerless is this struggling brain
     To rendrend Cause great emotional pain to (a person or their heart) the mighty mystery;
 In dark, uncertain awe it waits
     The common doom, to die.",Walt Whitman
"To the States,","To Identify the 16th, 17th, or 18th Presidentiad.Why reclining, interrogating? why myself and all drowsing? What deepening twilight—scum floating atop of the waters, Who are they as bats and night-dogs askant in the capitol? What a filthy Presidentiad! (O South, your torrid suns! O North, your arctic freezings!) Are those really Congressmen? are those the great Judges? is that the President? Then I will sleep awhile yet, for I see that these States sleep, for reasons; (With gathering murk, with muttering thunder and lambent shoots we all duly awake, South, North, East, West, inland and seaboard, we will surely awake.)",Walt Whitman
Vigil Strange I Kept on the Field one Night,"Vigil strange I kept on the field one night; When you my son and my comrade dropt at my side that day, One look I but gave which your dear eyes return’d with a look I shall never forget, One touch of your hand to mine O boy, reach’d up as you lay on the ground, Then onward I sped in the battle, the even-contested battle, Till late in the night reliev’d to the place at last again I made my way, Found you in death so cold dear comrade, found your body son of responding kisses, (never again on earth responding,) Bared your face in the starlight, curious the scene, cool blew the moderate night-wind, Long there and then in vigil I stood, dimly around me the battle-field spreading, Vigil wondrous and vigil sweet there in the fragrant silent night, But not a tear fell, not even a long-drawn sigh, long, long I gazed, Then on the earth partially reclining sat by your side leaning my chin in my hands, Passing sweet hours, immortal and mystic hours with you dearest comrade—not a tear, not a word, Vigil of silence, love and death, vigil for you my son and my soldier, As onward silently stars aloft, eastward new ones upward stole, Vigil final for you brave boy, (I could not save you, swift was your death, I faithfully loved you and cared for you living, I think we shall surely meet again,) Till at latest lingering of the night, indeed just as the dawn appear’d, My comrade I wrapt in his blanket, envelop’d well his form, Folded the blanket well, tucking it carefully over head and carefully under feet, And there and then and bathed by the rising sun, my son in his grave, in his rude-dug grave I deposited, Ending my vigil strange with that, vigil of night and battle-field dim, Vigil for boy of responding kisses, (never again on earth responding,) Vigil for comrade swiftly slain, vigil I never forget, how as day brighten’d, I rose from the chill ground and folded my soldier well in his blanket, And buried him where he fell.",Walt Whitman
When I Heard at the Close of the Day,"When I heard at the close of the day how my name had been receiv’d with plaudits in the capitol, still it was not a happy night for me that follow’d,
And else when I carous’d, or when my plans were accomplish’d, still I was not happy,
But the day when I rose at dawn from the bed of perfect health, refresh’d, singing, inhaling the ripe breath of autumn,
When I saw the full moon in the west grow pale and disappear in the morning light,
When I wander’d alone over the beach, and undressing bathed, laughing with the cool waters, and saw the sun rise,
And when I thought how my dear friend my lover was on his way coming, O then I was happy,
O then each breath tasted sweeter, and all that day my food nourish’d me more, and the beautiful day pass’d well,
And the next came with equal joy, and with the next at evening came my friend,
And that night while all was still I heard the waters roll slowly continually up the shores,
I heard the hissing rustle of the liquid and sands as directed to me whispering to congratulate me, 
For the one I love most lay sleeping by me under the same cover in the cool night,
In the stillness in the autumn moonbeams his face was inclined toward me,
And his arm lay lightly around my breast – and that night I was happy.
",Walt Whitman
When I Heard the Learn’d Astronomer,"When I heard the learn’d astronomer, When the proofs, the figures, were ranged in columns before me, When I was shown the charts and diagrams, to add, divide, and measure them, When I sitting heard the astronomer where he lectured with much applause in the lecture-room, How soon unaccountable I became tired and sick, Till rising and gliding out I wander’d off by myself, In the mystical moist night-air, and from time to time, Look’d up in perfect silence at the stars.",Walt Whitman
When Lilacs Last in the Dooryard Bloom’d,"1 When lilacs last in the dooryard bloom’d, And the great star early droop’d in the western sky in the night, I mourn’d, and yet shall mourn with ever-returning spring.  Ever-returning spring, trinity sure to me you bring, Lilac blooming perennial and drooping star in the west, And thought of him I love.  2 O powerful western fallen star! O shades of night—O moody, tearful night! O great star disappear’d—O the black murk that hides the star! O cruel hands that hold me powerless—O helpless soul of me! O harsh surrounding cloud that will not free my soul.  3 In the dooryard fronting an old farm-house near the white-wash’d palings, Stands the lilac-bush tall-growing with heart-shaped leaves of rich green, With many a pointed blossom rising delicate, with the perfume strong I love, With every leaf a miracle—and from this bush in the dooryard, With delicate-color’d blossoms and heart-shaped leaves of rich green, A sprig with its flower I break.  4 In the swamp in secluded recesses, A shy and hidden bird is warbling a song.  Solitary the thrush, The hermit withdrawn to himself, avoiding the settlements, Sings by himself a song.  Song of the bleeding throat, Death’s outlet song of life, (for well dear brother I know, If thou wast not granted to sing thou would’st surely die.)  5 Over the breast of the spring, the land, amid cities, Amid lanes and through old woods, where lately the violets peep’d from the ground, spotting the gray debris, Amid the grass in the fields each side of the lanes, passing the endless grass, Passing the yellow-spear’d wheat, every grain from its shroud in the dark-brown fields uprisen, Passing the apple-tree blows of white and pink in the orchards, Carrying a corpse to where it shall rest in the grave, Night and day journeys a coffin.  6 Coffin that passes through lanes and streets, Through day and night with the great cloud darkening the land, With the pomp of the inloop’d flags with the cities draped in black, With the show of the States themselves as of crape-veil’d women standing, With processions long and winding and the flambeaus of the night, With the countless torches lit, with the silent sea of faces and the unbared heads, With the waiting depot, the arriving coffin, and the sombre faces, With dirges through the night, with the thousand voices rising strong and solemn, With all the mournful voices of the dirges pour’d around the coffin, The dim-lit churches and the shuddering organs—where amid these you journey, With the tolling tolling bells’ perpetual clang, Here, coffin that slowly passes, I give you my sprig of lilac.  7 (Nor for you, for one alone, Blossoms and branches green to coffins all I bring, For fresh as the morning, thus would I chant a song for you O sane and sacred death.  All over bouquets of roses, O death, I cover you over with roses and early lilies, But mostly and now the lilac that blooms the first, Copious I break, I break the sprigs from the bushes, With loaded arms I come, pouring for you, For you and the coffins all of you O death.)  8 O western orb sailing the heaven, Now I know what you must have meant as a month since I walk’d, As I walk’d in silence the transparent shadowy night, As I saw you had something to tell as you bent to me night after night, As you droop’d from the sky low down as if to my side, (while the other stars all look’d on,) As we wander’d together the solemn night, (for something I know not what kept me from sleep,) As the night advanced, and I saw on the rim of the west how full you were of woe, As I stood on the rising ground in the breeze in the cool transparent night, As I watch’d where you pass’d and was lost in the netherward black of the night, As my soul in its trouble dissatisfied sank, as where you sad orb, Concluded, dropt in the night, and was gone.  9 Sing on there in the swamp, O singer bashful and tender, I hear your notes, I hear your call, I hear, I come presently, I understand you, But a moment I linger, for the lustrous star has detain’d me, The star my departing comrade holds and detains me.  10 O how shall I warble myself for the dead one there I loved? And how shall I deck my song for the large sweet soul that has gone? And what shall my perfume be for the grave of him I love?  Sea-winds blown from east and west, Blown from the Eastern sea and blown from the Western sea, till there on the prairies meeting, These and with these and the breath of my chant, I’ll perfume the grave of him I love.  11 O what shall I hang on the chamber walls? And what shall the pictures be that I hang on the walls, To adorn the burial-house of him I love?  Pictures of growing spring and farms and homes, With the Fourth-month eve at sundown, and the gray smoke lucid and bright, With floods of the yellow gold of the gorgeous, indolent, sinking sun, burning, expanding the air, With the fresh sweet herbage under foot, and the pale green leaves of the trees prolific, In the distance the flowing glaze, the breast of the river, with a wind-dapple here and there, With ranging hills on the banks, with many a line against the sky, and shadows, And the city at hand with dwellings so dense, and stacks of chimneys, And all the scenes of life and the workshops, and the workmen homeward returning.  12 Lo, body and soul—this land, My own Manhattan with spires, and the sparkling and hurrying tides, and the ships, The varied and ample land, the South and the North in the light, Ohio’s shores and flashing Missouri, And ever the far-spreading prairies cover’d with grass and corn.  Lo, the most excellent sun so calm and haughty, The violet and purple morn with just-felt breezes, The gentle soft-born measureless light, The miracle spreading bathing all, the fulfill’d noon, The coming eve delicious, the welcome night and the stars, Over my cities shining all, enveloping man and land.  13 Sing on, sing on you gray-brown bird, Sing from the swamps, the recesses, pour your chant from the bushes, Limitless out of the dusk, out of the cedars and pines.  Sing on dearest brother, warble your reedy song, Loud human song, with voice of uttermost woe.  O liquid and free and tender! O wild and loose to my soul—O wondrous singer! You only I hear—yet the star holds me, (but will soon depart,) Yet the lilac with mastering odor holds me.  14 Now while I sat in the day and look’d forth, In the close of the day with its light and the fields of spring, and the farmers preparing their crops, In the large unconscious scenery of my land with its lakes and forests, In the heavenly aerial beauty, (after the perturb’d winds and the storms,) Under the arching heavens of the afternoon swift passing, and the voices of children and women, The many-moving sea-tides, and I saw the ships how they sail’d, And the summer approaching with richness, and the fields all busy with labor, And the infinite separate houses, how they all went on, each with its meals and minutia of daily usages, And the streets how their throbbings throbb’d, and the cities pent—lo, then and there, Falling upon them all and among them all, enveloping me with the rest, Appear’d the cloud, appear’d the long black trail, And I knew death, its thought, and the sacred knowledge of death.  Then with the knowledge of death as walking one side of me, And the thought of death close-walking the other side of me, And I in the middle as with companions, and as holding the hands of companions, I fled forth to the hiding receiving night that talks not, Down to the shores of the water, the path by the swamp in the dimness, To the solemn shadowy cedars and ghostly pines so still.  And the singer so shy to the rest receiv’d me, The gray-brown bird I know receiv’d us comrades three, And he sang the carol of death, and a verse for him I love.  From deep secluded recesses, From the fragrant cedars and the ghostly pines so still, Came the carol of the bird.  And the charm of the carol rapt me, As I held as if by their hands my comrades in the night, And the voice of my spirit tallied the song of the bird.  Come lovely and soothing death, Undulate round the world, serenely arriving, arriving, In the day, in the night, to all, to each, Sooner or later delicate death.  Prais’d be the fathomless universe, For life and joy, and for objects and knowledge curious, And for love, sweet love—but praise! praise! praise! For the sure-enwinding arms of cool-enfolding death.  Dark mother always gliding near with soft feet, Have none chanted for thee a chant of fullest welcome? Then I chant it for thee, I glorify thee above all, I bring thee a song that when thou must indeed come, come unfalteringly.  Approach strong deliveress, When it is so, when thou hast taken them I joyously sing the dead, Lost in the loving floating ocean of thee, Laved in the flood of thy bliss O death.  From me to thee glad serenades, Dances for thee I propose saluting thee, adornments and feastings for thee, And the sights of the open landscape and the high-spread sky are fitting, And life and the fields, and the huge and thoughtful night.  The night in silence under many a star, The ocean shore and the husky whispering wave whose voice I know, And the soul turning to thee O vast and well-veil’d death, And the body gratefully nestling close to thee.  Over the tree-tops I float thee a song, Over the rising and sinking waves, over the myriad fields and the prairies wide, Over the dense-pack’d cities all and the teeming wharves and ways, I float this carol with joy, with joy to thee O death.  15 To the tally of my soul, Loud and strong kept up the gray-brown bird, With pure deliberate notes spreading filling the night.  Loud in the pines and cedars dim, Clear in the freshness moist and the swamp-perfume, And I with my comrades there in the night.  While my sight that was bound in my eyes unclosed, As to long panoramas of visions.  And I saw askant the armies, I saw as in noiseless dreams hundreds of battle-flags, Borne through the smoke of the battles and pierc’d with missiles I saw them, And carried hither and yon through the smoke, and torn and bloody, And at last but a few shreds left on the staffs, (and all in silence,) And the staffs all splinter’d and broken.  I saw battle-corpses, myriads of them, And the white skeletons of young men, I saw them, I saw the debris and debris of all the slain soldiers of the war, But I saw they were not as was thought, They themselves were fully at rest, they suffer’d not, The living remain’d and suffer’d, the mother suffer’d, And the wife and the child and the musing comrade suffer’d, And the armies that remain’d suffer’d.  16 Passing the visions, passing the night, Passing, unloosing the hold of my comrades’ hands, Passing the song of the hermit bird and the tallying song of my soul, Victorious song, death’s outlet song, yet varying ever-altering song, As low and wailing, yet clear the notes, rising and falling, flooding the night, Sadly sinking and fainting, as warning and warning, and yet again bursting with joy, Covering the earth and filling the spread of the heaven, As that powerful psalm in the night I heard from recesses, Passing, I leave thee lilac with heart-shaped leaves, I leave thee there in the door-yard, blooming, returning with spring.  I cease from my song for thee, From my gaze on thee in the west, fronting the west, communing with thee, O comrade lustrous with silver face in the night.  Yet each to keep and all, retrievements out of the night, The song, the wondrous chant of the gray-brown bird, And the tallying chant, the echo arous’d in my soul, With the lustrous and drooping star with the countenance full of woe, With the holders holding my hand nearing the call of the bird, Comrades mine and I in the midst, and their memory ever to keep, for the dead I loved so well, For the sweetest, wisest soul of all my days and lands—and this for his dear sake, Lilac and star and bird twined with the chant of my soul, There in the fragrant pines and the cedars dusk and dim.",Walt Whitman
Whoever You Are Holding Me Now in Hand,"Whoever you are holding me now in hand,
 Without one thing all will be useless,
 I give you fair warning before you attempt me further,
 I am not what you supposed, but far different.
 
 Who is he that would become my follower?
 Who would sign himself a candidate for my affections?
 
 The way is suspicious, the result uncertain, perhaps destructive,
 You would have to give up all else, I alone would expect to be your sole and exclusive standard,
 Your novitiate would even then be long and exhausting,
 The whole past theory of your life and all conformity to the lives around you would have to be abandon’d,
 Therefore release me now before troubling yourself any further, let go your hand from my shoulders,
 Put me down and depart on your way.
 
 Or else by stealth in some wood for trial,
 Or back of a rock in the open air,
 (For in any roof’d room of a house I emerge not, nor in company,
 And in libraries I lie as one dumb, a gawk, or unborn, or dead,)
 But just possibly with you on a high hill, first watching lest any person for miles around approach unawares,
 Or possibly with you sailing at sea, or on the beach of the sea or some quiet island,
 Here to put your lips upon mine I permit you,
 With the comrade’s long-dwelling kiss or the new husband’s kiss,
 For I am the new husband and I am the comrade.
 
 Or if you will, thrusting me beneath your clothing,
 Where I may feel the throbs of your heart or rest upon your hip,
 Carry me when you go forth over land or sea;
 For thus merely touching you is enough, is best,
 And thus touching you would I silently sleep and be carried eternally.
 
 But these leaves conning you con at peril,
 For these leaves and me you will not understand,
 They will elude you at first and still more afterward, I will certainly elude you,
 Even while you should think you had unquestionably caught me, behold!
 Already you see I have escaped from you.
 
 For it is not for what I have put into it that I have written this book,
 Nor is it by reading it you will acquire it,
 Nor do those know me best who admire me and vauntingly praise me,
 Nor will the candidates for my love (unless at most a very few) prove victorious,
 Nor will my poems do good only, they will do just as much evil, perhaps more,
 For all is useless without that which you may guess at many times and not hit, that which I hinted at;
 Therefore release me and depart on your way.Copyright Credit: Walt Whitman, ""Whoever You Are Holding Me Now in Hand"" from Leaves of Grass (: , )Source: Complete Poetry and Selected Prose (1959)",Walt Whitman
The World Below the Brine,"The world below the brine, Forests at the bottom of the sea, the branches and leaves, Sea-lettuce, vast lichens, strange flowers and seeds, the thick tangle, openings, and pink turf, Different colors, pale gray and green, purple, white, and gold, the play of light through the water, Dumb swimmers there among the rocks, coral, gluten, grass, rushes, and the aliment of the swimmers, Sluggish existences grazing there suspended, or slowly crawling close to the bottom, The sperm-whale at the surface blowing air and spray, or disporting with his flukes, The leaden-eyed shark, the walrus, the turtle, the hairy sea-leopard, and the sting-ray, Passions there, wars, pursuits, tribes, sight in those ocean-depths, breathing that thick-breathing air, as so many do, The change thence to the sight here, and to the subtle air breathed by beings like us who walk this sphere, The change onward from ours to that of beings who walk other spheres.",Walt Whitman
